phase,mag_G,mag_BP,mag_RP
0.0100,16.9479,17.0131,16.0551
0.0200,16.9493,17.0140,16.0552
0.0300,16.9505,17.0140,16.0552
0.0400,16.9516,17.0131,16.0549
0.0500,16.9523,17.0112,16.0543
0.0600,16.9528,17.0084,16.0533
0.0700,16.9528,17.0048,16.0520
0.0800,16.9525,17.0005,16.0504
0.0900,16.9518,16.9956,16.0483
0.1000,16.9506,16.9902,16.0460
0.1100,16.9490,16.9845,16.0434
0.1200,16.9470,16.9786,16.0406
0.1300,16.9446,16.9725,16.0376
0.1400,16.9419,16.9663,16.0344
0.1500,16.9387,16.9600,16.0312
0.1600,16.9352,16.9536,16.0278
0.1700,16.9314,16.9472,16.0245
0.1800,16.9272,16.9407,16.0211
0.1900,16.9227,16.9341,16.0177
0.2000,16.9179,16.9275,16.0143
0.2100,16.9128,16.9207,16.0109
0.2200,16.9073,16.9138,16.0075
0.2300,16.9015,16.9068,16.0041
0.2400,16.8954,16.8996,16.0008
0.2500,16.8890,16.8922,15.9974
0.2600,16.8822,16.8847,15.9941
0.2700,16.8752,16.8770,15.9909
0.2800,16.8678,16.8692,15.9877
0.2900,16.8602,16.8613,15.9847
0.3000,16.8523,16.8534,15.9817
0.3100,16.8442,16.8457,15.9789
0.3200,16.8361,16.8383,15.9763
0.3300,16.8281,16.8314,15.9740
0.3400,16.8202,16.8253,15.9720
0.3500,16.8126,16.8201,15.9703
0.3600,16.8054,16.8158,15.9689
0.3700,16.7986,16.8124,15.9679
0.3800,16.7923,16.8099,15.9671
0.3900,16.7866,16.8080,15.9666
0.4000,16.7813,16.8068,15.9664
0.4100,16.7766,16.8060,15.9664
0.4200,16.7724,16.8057,15.9666
0.4300,16.7686,16.8058,15.9669
0.4400,16.7654,16.8061,15.9675
0.4500,16.7627,16.8068,15.9682
0.4600,16.7605,16.8077,15.9690
0.4700,16.7588,16.8087,15.9700
0.4800,16.7577,16.8098,15.9711
0.4900,16.7572,16.8109,15.9724
0.5000,16.7573,16.8117,15.9737
0.5100,16.7581,16.8121,15.9751
0.5200,16.7596,16.8121,15.9767
0.5300,16.7619,16.8114,15.9785
0.5400,16.7649,16.8103,15.9804
0.5500,16.7686,16.8089,15.9827
0.5600,16.7728,16.8076,15.9852
0.5700,16.7775,16.8068,15.9882
0.5800,16.7824,16.8069,15.9916
0.5900,16.7872,16.8083,15.9955
0.6000,16.7919,16.8109,15.9997
0.6100,16.7965,16.8146,16.0042
0.6200,16.8008,16.8194,16.0089
0.6300,16.8049,16.8251,16.0137
0.6400,16.8089,16.8313,16.0186
0.6500,16.8127,16.8380,16.0234
0.6600,16.8166,16.8451,16.0281
0.6700,16.8204,16.8526,16.0328
0.6800,16.8243,16.8603,16.0374
0.6900,16.8282,16.8685,16.0418
0.7000,16.8322,16.8770,16.0461
0.7100,16.8364,16.8858,16.0502
0.7200,16.8406,16.8950,16.0541
0.7300,16.8450,16.9044,16.0578
0.7400,16.8496,16.9136,16.0612
0.7500,16.8544,16.9223,16.0641
0.7600,16.8594,16.9303,16.0666
0.7700,16.8645,16.9373,16.0684
0.7800,16.8698,16.9430,16.0694
0.7900,16.8751,16.9474,16.0697
0.8000,16.8804,16.9506,16.0691
0.8100,16.8857,16.9529,16.0679
0.8200,16.8907,16.9546,16.0662
0.8300,16.8955,16.9559,16.0642
0.8400,16.9001,16.9573,16.0620
0.8500,16.9045,16.9590,16.0600
0.8600,16.9086,16.9612,16.0581
0.8700,16.9124,16.9640,16.0565
0.8800,16.9161,16.9673,16.0552
0.8900,16.9196,16.9710,16.0542
0.9000,16.9228,16.9751,16.0535
0.9100,16.9259,16.9793,16.0531
0.9200,16.9289,16.9836,16.0529
0.9300,16.9316,16.9878,16.0528
0.9400,16.9342,16.9920,16.0529
0.9500,16.9366,16.9960,16.0531
0.9600,16.9388,16.9997,16.0534
0.9700,16.9409,17.0032,16.0537
0.9800,16.9429,17.0064,16.0541
0.9900,16.9447,17.0092,16.0545
1.0000,16.9464,17.0114,16.0548
1.0100,16.9479,17.0131,16.0551
1.0200,16.9493,17.0140,16.0552
1.0300,16.9505,17.0140,16.0552
1.0400,16.9516,17.0131,16.0549
1.0500,16.9523,17.0112,16.0543
1.0600,16.9528,17.0084,16.0533
1.0700,16.9528,17.0048,16.0520
1.0800,16.9525,17.0005,16.0504
1.0900,16.9518,16.9956,16.0483
1.1000,16.9506,16.9902,16.0460
1.1100,16.9490,16.9845,16.0434
1.1200,16.9470,16.9786,16.0406
1.1300,16.9446,16.9725,16.0376
1.1400,16.9419,16.9663,16.0344
1.1500,16.9387,16.9600,16.0312
1.1600,16.9352,16.9536,16.0278
1.1700,16.9314,16.9472,16.0245
1.1800,16.9272,16.9407,16.0211
1.1900,16.9227,16.9341,16.0177
1.2000,16.9179,16.9275,16.0143
1.2100,16.9128,16.9207,16.0109
1.2200,16.9073,16.9138,16.0075
1.2300,16.9015,16.9068,16.0041
1.2400,16.8954,16.8996,16.0008
1.2500,16.8890,16.8922,15.9974
1.2600,16.8822,16.8847,15.9941
1.2700,16.8752,16.8770,15.9909
1.2800,16.8678,16.8692,15.9877
1.2900,16.8602,16.8613,15.9847
1.3000,16.8523,16.8534,15.9817
1.3100,16.8442,16.8457,15.9789
1.3200,16.8361,16.8383,15.9763
1.3300,16.8281,16.8314,15.9740
1.3400,16.8202,16.8253,15.9720
1.3500,16.8126,16.8201,15.9703
1.3600,16.8054,16.8158,15.9689
1.3700,16.7986,16.8124,15.9679
1.3800,16.7923,16.8099,15.9671
1.3900,16.7866,16.8080,15.9666
1.4000,16.7813,16.8068,15.9664
1.4100,16.7766,16.8060,15.9664
1.4200,16.7724,16.8057,15.9666
1.4300,16.7686,16.8058,15.9669
1.4400,16.7654,16.8061,15.9675
1.4500,16.7627,16.8068,15.9682
1.4600,16.7605,16.8077,15.9690
1.4700,16.7588,16.8087,15.9700
1.4800,16.7577,16.8098,15.9711
1.4900,16.7572,16.8109,15.9724
1.5000,16.7573,16.8117,15.9737
1.5100,16.7581,16.8121,15.9751
1.5200,16.7596,16.8121,15.9767
1.5300,16.7619,16.8114,15.9785
1.5400,16.7649,16.8103,15.9804
1.5500,16.7686,16.8089,15.9827
1.5600,16.7728,16.8076,15.9852
1.5700,16.7775,16.8068,15.9882
1.5800,16.7824,16.8069,15.9916
1.5900,16.7872,16.8083,15.9955
1.6000,16.7919,16.8109,15.9997
1.6100,16.7965,16.8146,16.0042
1.6200,16.8008,16.8194,16.0089
1.6300,16.8049,16.8251,16.0137
1.6400,16.8089,16.8313,16.0186
1.6500,16.8127,16.8380,16.0234
1.6600,16.8166,16.8451,16.0281
1.6700,16.8204,16.8526,16.0328
1.6800,16.8243,16.8603,16.0374
1.6900,16.8282,16.8685,16.0418
1.7000,16.8322,16.8770,16.0461
1.7100,16.8364,16.8858,16.0502
1.7200,16.8406,16.8950,16.0541
1.7300,16.8450,16.9044,16.0578
1.7400,16.8496,16.9136,16.0612
1.7500,16.8544,16.9223,16.0641
1.7600,16.8594,16.9303,16.0666
1.7700,16.8645,16.9373,16.0684
1.7800,16.8698,16.9430,16.0694
1.7900,16.8751,16.9474,16.0697
1.8000,16.8804,16.9506,16.0691
1.8100,16.8857,16.9529,16.0679
1.8200,16.8907,16.9546,16.0662
1.8300,16.8955,16.9559,16.0642
1.8400,16.9001,16.9573,16.0620
1.8500,16.9045,16.9590,16.0600
1.8600,16.9086,16.9612,16.0581
1.8700,16.9124,16.9640,16.0565
1.8800,16.9161,16.9673,16.0552
1.8900,16.9196,16.9710,16.0542
1.9000,16.9228,16.9751,16.0535
1.9100,16.9259,16.9793,16.0531
1.9200,16.9289,16.9836,16.0529
1.9300,16.9316,16.9878,16.0528
1.9400,16.9342,16.9920,16.0529
1.9500,16.9366,16.9960,16.0531
1.9600,16.9388,16.9997,16.0534
1.9700,16.9409,17.0032,16.0537
1.9800,16.9429,17.0064,16.0541
1.9900,16.9447,17.0092,16.0545
2.0000,16.9464,17.0114,16.0548
